Accession,Organism_Name,GenBank_RefSeq,Assembly,Submitters,Organization,Org_location,Release_Date,Isolate,Species,Length,Nuc_Completeness,Geo_Location,USA,Host,Tissue_Specimen_Source,Collection_Date
NC_055005,Lactococcus phage vB_Llc_bIBB94p4,RefSeq,GCF_011022395.1,"Chmielewska-Jeznach,M., Bardowski,J.K., Szczepankowska,A.K., Szczepankowska,A., Bardowski,J.","National Center for Biotechnology Information, NIH",USA,5/27/21,,Ceduovirus blBB94p4,21834,complete,,,Lactococcus lactis,,
NC_055006,Lactococcus phage CHPC116,RefSeq,GCF_009745315.1,"Marcelli,B., de Jong,A., Kuipers,O.P.","National Center for Biotechnology Information, NIH",USA,5/27/21,,Ceduovirus CHPC116,21869,complete,,,Lactococcus lactis,,
NC_055007,Lactococcus phage CHPC122,RefSeq,GCF_009745445.1,"Marcelli,B., de Jong,A., Kuipers,O.P.","National Center for Biotechnology Information, NIH",USA,5/27/21,,Ceduovirus CHPC122,22109,complete,,,Lactococcus lactis,,
NC_055008,Lactococcus phage CHPC966,RefSeq,GCF_009745895.1,"Marcelli,B., de Jong,A., Kuipers,O.P.","National Center for Biotechnology Information, NIH",USA,5/27/21,,Ceduovirus CHPC966,21749,complete,,,Lactococcus lactis,,
NC_055009,Lactococcus phage CHPC967,RefSeq,GCF_009745715.1,"Marcelli,B., de Jong,A., Kuipers,O.P.","National Center for Biotechnology Information, NIH",USA,5/27/21,,Ceduovirus CHPC967,22405,complete,,,Lactococcus lactis,,
NC_055010,Lactococcus phage CHPC972,RefSeq,GCF_009745735.1,"Marcelli,B., de Jong,A., Kuipers,O.P.","National Center for Biotechnology Information, NIH",USA,5/27/21,,Ceduovirus CHPC972,23281,complete,,,Lactococcus lactis,,
NC_055011,Lactococcus phage CHPC1020,RefSeq,GCF_009745295.1,"Marcelli,B., de Jong,A., Kuipers,O.P.","National Center for Biotechnology Information, NIH",USA,5/27/21,,Ceduovirus CHPC1020,22410,complete,,,Lactococcus lactis,,
NC_055012,Lactococcus phage CHPC1170,RefSeq,GCF_009745355.1,"Marcelli,B., de Jong,A., Kuipers,O.P.","National Center for Biotechnology Information, NIH",USA,5/27/21,,Ceduovirus CHPC1170,21746,complete,,,Lactococcus lactis,,
NC_055013,Lactococcus phage CHPC1182,RefSeq,GCF_009745395.1,"Marcelli,B., de Jong,A., Kuipers,O.P.","National Center for Biotechnology Information, NIH",USA,5/27/21,,Ceduovirus CHPC1182,20751,complete,,,Lactococcus lactis,,
NC_055014,Lactococcus phage CHPC1183,RefSeq,GCF_009745415.1,"Marcelli,B., de Jong,A., Kuipers,O.P.","National Center for Biotechnology Information, NIH",USA,5/27/21,,Ceduovirus CHPC1183,20030,complete,,,Lactococcus lactis,,
NC_055015,Lactococcus phage CHPC1242,RefSeq,GCF_009745875.1,"Marcelli,B., de Jong,A., Kuipers,O.P.","National Center for Biotechnology Information, NIH",USA,5/27/21,,Ceduovirus CHPC1242,21144,complete,,,Lactococcus lactis,,
NC_055016,Lactococcus phage vB_LacS_15,RefSeq,GCF_008605745.1,"Damnjanovic,D.M.","National Center for Biotechnology Information, NIH",USA,5/27/21,,Ceduovirus LacS15,21006,complete,Australia,,Lactococcus lactis,,2016
NC_055017,Lactococcus phage PC_B1,RefSeq,GCF_009745775.1,"Marcelli,B., de Jong,A., Kuipers,O.P.","National Center for Biotechnology Information, NIH",USA,5/27/21,,Ceduovirus PCB1,22099,complete,,,Lactococcus lactis,,
NC_055018,Lactococcus phage PC_S1,RefSeq,GCF_009745815.1,"Marcelli,B., de Jong,A., Kuipers,O.P.","National Center for Biotechnology Information, NIH",USA,5/27/21,,Ceduovirus PCS1,21629,complete,,,Lactococcus lactis,,
NC_055050,Lactococcus phage PLgW-1,RefSeq,GCF_003307335.1,"Hoai,T.D., Nishiki,I., Yoshida,T., Nakai,T.","National Center for Biotechnology Information, NIH",USA,5/27/21,,Uwajimavirus PLgW1,30189,complete,Japan,,Lactococcus garvieae,,
NC_054431,Microbacterium phage Scamander,RefSeq,GCF_003366335.1,"Smith,H.V., Frost,V.J., Westover,K.M., Wiersma-Koch,H.I., Klyczek,K., Garlena,R.A., Russell,D.A., Pope,W.H., Jacobs-Sera,D., Hatfull,G.F.","National Center for Biotechnology Information, NIH",USA,4/20/21,,Paopuvirus Scamander,17452,complete,"USA: Rock Hill, SC",SC,Microbacterium foliorum,,10/24/17
NC_052932,Microbacterium phage PaoPu,RefSeq,GCF_003034705.1,"Stanton,A.-C.J., Sivanathan,V., Eleri,A., Garlena,R.A., Russell,D.A., Pope,W.H., Jacobs-Sera,D., Hatfull,G.F.","National Center for Biotechnology Information, NIH",USA,2/10/21,,Paopuvirus paopu,17362,complete,"USA: Germantown, MD",MD,Microbacterium foliorum,,9/1/16
NC_052933,Microbacterium phage Azizam,RefSeq,GCF_009689505.1,"Nagle,A.M., Lula,M.A., Frappier,M., Jents,M.B., Twichel,T.M., Kadrmas,T.K., Burns,G.P., Fleischacker,C.L., Riley,H.L., Garlena,R.A., Russell,D.A., Pope,W.H., Jacobs-Sera,D., Hatfull,G.F.","National Center for Biotechnology Information, NIH",USA,2/10/21,,Paopuvirus azizam,17385,complete,"USA: Northampton, MA",MA,Microbacterium foliorum,,10/1/18
NC_052934,Microbacterium phage Bri160,RefSeq,GCF_013426425.1,"Thomas,B.M., Anderson,C.E., Brown,M.J., Cox,S.O., Downey,J.L., Griffin,B.T., Jensen,A., Lee,Y., Ludwig,A.S., Moon,M., Moran,M.J., Packard,T.D., Scott,T.M., Spencer,J.B., Vander Werff,K.J., Wells,B.M., Grose,J.H., Breakwell,D., Chamberlain,J.D., Doxey,E.C., Eastley,D., Hendricks,M.C., Pollenz,R.S., Garlena,R.A., Russell,D.A., Pope,W.H., Jacobs-Sera,D., Hatfull,G.F.","National Center for Biotechnology Information, NIH",USA,2/10/21,,Paopuvirus bri160,17442,complete,"USA: Provo, UT",UT,Microbacterium foliorum,,10/1/19
NC_052935,Microbacterium phage Kaijohn,RefSeq,GCF_009672745.1,"Duffy,I., Kerns,H.R., Brown,C.R., Ouellette,L.A., Showers,K.M., Katz,E.L., Gemmati,A.M., Ogueke,L.I., Latalladi,V.L., Duncan,J., Washington,J.M., Garlena,R.A., Russell,D.A., Pope,W.H., Jacobs-Sera,D., Hatfull,G.F.","National Center for Biotechnology Information, NIH",USA,2/10/21,,Paopuvirus kaijohn,17426,complete,"USA: San Antonio, FL",TX,Microbacterium foliorum,,10/1/18
NC_052936,Microbacterium phage Nobel,RefSeq,GCF_012933915.1,"Ariel,J.D., Backlas-Cruz,J., Chaudhry,M.A., Chin,A., Dicamillo,L.T., Ediriweera,G., Godshall,S.L., Guda,A., Heck,A.E., Hornbaker,A.C., Kubiak,E.V., Lamb,G.M., Mahmood,A., Mehta,I.R., Mula,M., Mulukutla,S., Pottasseril,K.S., Rub,H.A., Shah,S.M., Solanky,R.M., Suh,J.C., Evtimov,V.S., Gurney,S.M.R., Garlena,R.A., Russell,D.A., Pope,W.H., Jacobs-Sera,D., Hatfull,G.F.","National Center for Biotechnology Information, NIH",USA,2/10/21,,Paopuvirus nobel,17049,complete,"USA: Philadelphia, PA",PA,Microbacterium foliorum,,9/9/19
NC_052937,Microbacterium phage Noelani,RefSeq,GCF_003341695.1,"Moreno,J., Bryant,B., Burch,A., Dorissaint,R., Douthitt,C., Garofalo,J., Kuiack,J., Marcillon,S., Norus,J., Parks,M., Wilse,K., Wiersma-Koch,H., D'Elia,T., Garlena,R.A., Russell,D.A., Pope,W.H., Jacobs-Sera,D., Hatfull,G.F.","National Center for Biotechnology Information, NIH",USA,2/10/21,,Paopuvirus noelani,17349,complete,"USA: Ft. Pierce, FL",FL,Microbacterium foliorum,,8/25/17
NC_052938,Microbacterium phage PoRanda,RefSeq,GCF_013388145.1,"Bishop,H., Blue,P., Bollinger,E., DeFlorio,A., Edmonds,H., Gonzalez,M., Green,W., Griffin,S., Harris,N., Hearell,J., Holland,T., Hollars,J., Larmore,C., Leininger,H., McKinney,R., Pollock,E., Ray,A., Smith,A., Stanislaw,P., Taylor,M., Tiffany,M., Walsh,C., Watson,S., Folse,N., Gainey,M.D., Wallen,J.R., Garlena,R.A., Russell,D.A., Pope,W.H., Jacobs-Sera,D., Hatfull,G.F.","National Center for Biotechnology Information, NIH",USA,2/10/21,,Paopuvirus poranda,17510,complete,"USA: Cullowhee, NC",NC,Microbacterium foliorum,,9/1/19
NC_052939,Microbacterium phage Quaker,RefSeq,GCF_003341335.1,"Bachelani,S.F., Bookler,A., Buetow,B.S., Dailey,E.M., DeWindt,D.C.-M., Flandrick,S., Glynn,C., Hansen,B.R., Hass,A.M., Hoffstatter,E.W., Jacob,S.K.L., Jones,K., Lisowski,P.J., Luttrell,D.P., Paulus,B.K., Pliszka,M.A., Seif,K.S., Timm,P.H., Weinberg,M., Wright,R.S., Zobrist,M.A., Bonilla,J.A., Klyczek,K., Garlena,R.A., Russell,D.A., Pope,W.H., Jacobs-Sera,D., Hatfull,G.F.","National Center for Biotechnology Information, NIH",USA,2/10/21,,Paopuvirus quaker,17450,complete,"USA: River Falls, WI",WI,Microbacterium foliorum,,10/1/17
NC_052940,Microbacterium phage BonaeVitae,RefSeq,GCF_003034655.1,"Stanton,A.-C.J., Heskett,L., Lambert,A., Linder,D., Novinski,D., Bricker,J., Garlena,R.A., Russell,D.A., Pope,W.H., Jacobs-Sera,D., Hatfull,G.F.","National Center for Biotechnology Information, NIH",USA,2/10/21,,Bonaevitaevirus bonaevitae,17451,complete,"USA: Grand Island, NE",NE,Microbacterium paraoxydans,,9/28/15
NC_052941,Microbacterium phage Efeko,RefSeq,GCF_003613455.1,"Franke,B.K., Bonilla,J.A., Klyczek,K., Garlena,R.A., Russell,D.A., Pope,W.H., Jacobs-Sera,D., Hatfull,G.F.","National Center for Biotechnology Information, NIH",USA,2/10/21,,Efkovirus efeko,17491,complete,"USA: Hudson, WI",WI,Microbacterium paraoxydans,,3/1/17
NC_049959,Bacillus phage QCM11,RefSeq,GCF_002614325.1,"Chung,C.-H., Walter,M.H., Yang,L., Chen,S.-C., Winston,V., Thomas,M.A.","National Center for Biotechnology Information, NIH",USA,7/29/20,,Claudivirus QCM11,26054,complete,,,Bacillus,,
NC_049960,Bacillus phage Harambe,RefSeq,GCF_002622645.1,"Abille,Z., Afsharjavan,R., Alms,C.E., Anil,A., Azuma,E.A., Boateng,D., Bowden,K.V., Bui,Q., Callaghan,K.D., Canova,P.N., Carter,A.-G.V., Carty,B., Choudhary,A., Chugh,K., Clark,C.B., Clark,J., Cortez,R., Dalwadi,R.M., Daou,G., Das,M., Dasari,S., Davis,E.H., Defreitas,N., Demirji,J., Endres,C., Fakhar,S., Feeley,N., Flores,D.C., Fowler,A.R., George,T., Greis,H.L., Groleau,D.L., Gulati,J.K., Guzman,W., Hallworth,A.N., Hariri,A., Haya,V.N., Hoffman,A.K., Horne,B., Howard,T., Iglesia,A.J., Ijezie,O.D., Incognito,N.A., Inen,J.A., Jaiswal,A., Jezek,R.A., Kawa,A.C., Khan,F., Khin,A.C., Knapo,J., Kong,A.S., Le,B.Q., Le,Q.M., Le,T.-H.M., Lee,M., Lockwood,J.L., Loto-Rojas,G.S., Mantzavinos,A., Martinez,D.R., Meadows,A.R., Mehr,S., Mellon,M.N., Memon,S., Miller,B., Min,S., Mitchell,L.M., Mohamed,I.R., Mohammed,F.O., More,S., Muntaha,S., Nadeem,I., Ndjeumen-Njinguet,A.S., Ng,P., Ngu,V.E., Nguyen,B.N., OHern,C.T., Oboh,U.S., Pagano,C.W., Panakal,P.R., Park,D.A., Parsana,D., Patel,P., Patel,V.S., Patwardhan,V.M., Pawar,S.D., Payne,V.R., Petricel,I.M., Phillips,C., Puglisi,K.M., Ramaprasad,G., Raza,A.S., Rivera-Oven,A.G., Robins,E., Roeun,D.C., Rostovtseva,N., Sadat,M., Seas,A., So,E.J., Sogbesan,C., Strumsky,L.A., Sun,J.L., Sutherland,H.J., Tchakounte,I., Tewell,J.R., Thapa,D.J., Tkach,Y., Tran,C.D., Tran,V., Vithayathil,T., Vivekanandan,A., Wang,S.R., White,E., Yang,A.L., Ye,D.T., Yirenkyi,M., Zarb,J.S., Zhang,S., Zhou,M.T., Cao,A., Nguyen,K.M., Patel,K., Pennington,E., Sendze,O., Zahangir,S., Correa-Mendez,M., Fabian,M.F., Liu,S., Jethmalani,Y., Nunn,R., Prakash,A., Louise,T., Johnson,A., Erill,I., Caruso,S.M.","National Center for Biotechnology Information, NIH",USA,7/29/20,,Harambevirus harambe,21684,complete,"USA: Bowie, MD",MD,Bacillus thuringiensis,,8/25/16
NC_049961,Bacillus phage BeachBum,RefSeq,GCF_002623545.1,"Abille,Z., Afsharjavan,R., Alms,C.E., Anil,A., Azuma,E.A., Boateng,D., Bowden,K.V., Bui,Q., Callaghan,K.D., Canova,P.N., Carter,A.-G.V., Carty,B., Choudhary,A., Chugh,K., Clark,C.B., Clark,J., Cortez,R., Dalwadi,R.M., Daou,G., Das,M., Dasari,S., Davis,E.H., Defreitas,N., Demirji,J., Endres,C., Fakhar,S., Feeley,N., Flores,D.C., Fowler,A.R., George,T., Greis,H.L., Groleau,D.L., Gulati,J.K., Guzman,W., Hallworth,A.N., Hariri,A., Haya,V.N., Hoffman,A.K., Horne,B., Howard,T., Iglesia,A.J., Ijezie,O.D., Incognito,N.A., Inen,J.A., Jaiswal,A., Jezek,R.A., Kawa,A.C., Khan,F., Khin,A.C., Knapo,J., Kong,A.S., Le,B.Q., Le,Q.M., Le,T.-H.M., Lee,M., Lockwood,J.L., Loto-Rojas,G.S., Mantzavinos,A., Martinez,D.R., Meadows,A.R., Mehr,S., Mellon,M.N., Memon,S., Miller,B., Min,S., Mitchell,L.M., Mohamed,I.R., Mohammed,F.O., More,S., Muntaha,S., Nadeem,I., Ndjeumen-Njinguet,A.S., Ng,P., Ngu,V.E., Nguyen,B.N., OHern,C.T., Oboh,U.S., Pagano,C.W., Panakal,P.R., Park,D.A., Parsana,D., Patel,P., Patel,V.S., Patwardhan,V.M., Pawar,S.D., Payne,V.R., Petricel,I.M., Phillips,C., Puglisi,K.M., Ramaprasad,G., Raza,A.S., Rivera-Oven,A.G., Robins,E., Roeun,D.C., Rostovtseva,N., Sadat,M., Seas,A., So,E.J., Sogbesan,C., Strumsky,L.A., Sun,J.L., Sutherland,H.J., Tchakounte,I., Tewell,J.R., Thapa,D.J., Tkach,Y., Tran,C.D., Tran,V., Vithayathil,T., Vivekanandan,A., Wang,S.R., White,E., Yang,A.L., Ye,D.T., Yirenkyi,M., Zarb,J.S., Zhang,S., Zhou,M.T., Cao,A., Nguyen,K.M., Patel,K., Pennington,E., Sendze,O., Zahangir,S., Correa-Mendez,M., Fabian,M.F., Liu,S., Jethmalani,Y., Nunn,R., Prakash,A., Louise,T., Johnson,A., Erill,I., Caruso,S.M.","National Center for Biotechnology Information, NIH",USA,7/29/20,,Harambevirus beachbum,21054,complete,"USA: Ocean City, MD",MD,Bacillus thuringiensis,,8/19/16
NC_049962,Bacillus phage SerPounce,RefSeq,GCF_002623485.1,"Abille,Z., Afsharjavan,R., Alms,C.E., Anil,A., Azuma,E.A., Boateng,D., Bowden,K.V., Bui,Q., Callaghan,K.D., Canova,P.N., Carter,A.-G.V., Carty,B., Choudhary,A., Chugh,K., Clark,C.B., Clark,J., Cortez,R., Dalwadi,R.M., Daou,G., Das,M., Dasari,S., Davis,E.H., Defreitas,N., Demirji,J., Endres,C., Fakhar,S., Feeley,N., Flores,D.C., Fowler,A.R., George,T., Greis,H.L., Groleau,D.L., Gulati,J.K., Guzman,W., Hallworth,A.N., Hariri,A., Haya,V.N., Hoffman,A.K., Horne,B., Howard,T., Iglesia,A.J., Ijezie,O.D., Incognito,N.A., Inen,J.A., Jaiswal,A., Jezek,R.A., Kawa,A.C., Khan,F., Khin,A.C., Knapo,J., Kong,A.S., Le,B.Q., Le,Q.M., Le,T.-H.M., Lee,M., Lockwood,J.L., Loto-Rojas,G.S., Mantzavinos,A., Martinez,D.R., Meadows,A.R., Mehr,S., Mellon,M.N., Memon,S., Miller,B., Min,S., Mitchell,L.M., Mohamed,I.R., Mohammed,F.O., More,S., Muntaha,S., Nadeem,I., Ndjeumen-Njinguet,A.S., Ng,P., Ngu,V.E., Nguyen,B.N., OHern,C.T., Oboh,U.S., Pagano,C.W., Panakal,P.R., Park,D.A., Parsana,D., Patel,P., Patel,V.S., Patwardhan,V.M., Pawar,S.D., Payne,V.R., Petricel,I.M., Phillips,C., Puglisi,K.M., Ramaprasad,G., Raza,A.S., Rivera-Oven,A.G., Robins,E., Roeun,D.C., Rostovtseva,N., Sadat,M., Seas,A., So,E.J., Sogbesan,C., Strumsky,L.A., Sun,J.L., Sutherland,H.J., Tchakounte,I., Tewell,J.R., Thapa,D.J., Tkach,Y., Tran,C.D., Tran,V., Vithayathil,T., Vivekanandan,A., Wang,S.R., White,E., Yang,A.L., Ye,D.T., Yirenkyi,M., Zarb,J.S., Zhang,S., Zhou,M.T., Cao,A., Nguyen,K.M., Patel,K., Pennington,E., Sendze,O., Zahangir,S., Correa-Mendez,M., Fabian,M.F., Liu,S., Jethmalani,Y., Nunn,R., Prakash,A., Louise,T., Johnson,A., Erill,I., Caruso,S.M.","National Center for Biotechnology Information, NIH",USA,7/29/20,,Claudivirus serpounce,27206,complete,"USA: Ellicott City, MD",MD,Bacillus thuringiensis,,9/14/16
NC_049963,Bacillus phage Juan,RefSeq,GCF_002627305.1,"Persinger,R., Himelright,M., Sutterfield,B., Davis,G., Huang,C., Martinez,E., Miscione,A., O'Neill,T., Temple,L.","National Center for Biotechnology Information, NIH",USA,7/29/20,,Claudivirus juan,25032,complete,USA,,Bacillus thuringiensis serovar kurstaki,,9/29/16
NC_049964,Bacillus phage KonjoTrouble,RefSeq,GCF_002627325.1,"Kassa,L., Himelright,M., Sutterfield,B., Lovrinic,A., McNeal,J., Shah,S., Todd,M., Temple,L.","National Center for Biotechnology Information, NIH",USA,7/29/20,,Claudivirus konjotrouble,26061,complete,USA,,Bacillus,,8/30/16
NC_049965,Bacillus phage vB_BveP-Goe6,RefSeq,GCF_002627245.1,"Hertel,R., Schilling,T., Daniel,R.","National Center for Biotechnology Information, NIH",USA,7/29/20,,Salasvirus Goe6,19105,complete,Germany: Goettingen,,Bacillus velezensis FZB42,,2016
NC_049966,Bacillus phage vB_BthP-Goe4,RefSeq,GCF_003614635.1,"Schilling,T., Hoppert,M., Hertel,R.","National Center for Biotechnology Information, NIH",USA,7/29/20,,Claudivirus Goe4,25722,complete,Germany: Goettingen,,Bacillus,,2016
NC_049967,Bacillus phage DK1,RefSeq,GCF_004135185.1,"Kong,L., Ding,Y., Wu,Q.","National Center for Biotechnology Information, NIH",USA,7/29/20,,Hemphillvirus DK1,27180,complete,,,Bacillus cereus,,
NC_049968,Bacillus phage DK2,RefSeq,GCF_004135225.1,"Kong,L., Ding,Y., Wu,Q.","National Center for Biotechnology Information, NIH",USA,7/29/20,,Hemphillvirus DK2,26357,complete,,,Bacillus cereus,,
NC_049969,Bacillus phage DK3,RefSeq,GCF_004135245.1,"Kong,L., Ding,Y., Wu,Q.","National Center for Biotechnology Information, NIH",USA,7/29/20,,Hemphillvirus DK3,26865,complete,,,Bacillus cereus,,
NC_049970,Bacillus phage Karezi,RefSeq,GCF_006869665.1,"Sanders,K., Barth,R., Bowles,K., Glasgow,G., Gloe,M., Lewis,H., McGough,T., Nutbrown,S., Romulus,S., Sergiano,J., Shin,D., Suresh,M., Johnson,A., Temple,L.","National Center for Biotechnology Information, NIH",USA,7/29/20,,Karezivirus karezi,20083,complete,"USA: Harrisonburg, VA",VA,Bacillus thuringiensis serovar kurstaki,,8/28/13
NC_049971,Bacillus phage vB_Bpu_PumA1,RefSeq,GCF_009673325.1,"Batinovic,S., Rice,D., Beer,M., Petrovski,S.","National Center for Biotechnology Information, NIH",USA,7/29/20,,Bundooravirus PumA1,18466,complete,Australia,,Bacillus pumilus,,2017
NC_049972,Bacillus phage vB_Bpu_PumA2,RefSeq,GCF_009673345.1,"Batinovic,S., Rice,D., Beer,M., Petrovski,S.","National Center for Biotechnology Information, NIH",USA,7/29/20,,Bundooravirus PumA2,18932,complete,Australia,,Bacillus pumilus,,2017
NC_049973,Bacillus phage SRT01hs,RefSeq,GCF_009932005.1,"Shah Mahmud,R., Ulyanova,V., Mindubaeva,L., Markelova,M., Garifullina,K., Malanin,S., Doijad,S.P., Chakraborty,T., Ilinskaya,O.","National Center for Biotechnology Information, NIH",USA,7/29/20,,Gaunavirus SRT01hs,20784,complete,Russia: Republic of Tatarstan,,Bacillus safensis,,2015
NC_049974,Bacillus phage Gxv1,RefSeq,GCF_013348135.1,"Guo,X.","National Center for Biotechnology Information, NIH",USA,7/29/20,,Salasvirus Gxv1,21781,complete,,,Bacillus sp. (in: firmicutes),,
NC_049975,Bacillus phage vB_BsuP-Goe1,RefSeq,GCF_002601545.1,"Hertel,R., Willms,I.M., Daniel,R.","National Center for Biotechnology Information, NIH",USA,7/29/20,,Beecentumtrevirus Goe1,18379,complete,Germany,,Bacillus subtilis,,11/1/14
NC_049976,Bacillus phage Nf,RefSeq,GCF_002755055.1,"Castilla-Llorente,V., Salas,M., Meijer,W.J., Meijer,W.J.J.","National Center for Biotechnology Information, NIH",USA,7/29/20,,Beecentumtrevirus Nf,18753,complete,,,Bacillus,,
NC_049930,Enterococcus phage vB_EfaP_Zip,RefSeq,GCF_004147145.1,"Melo,L.D.R., Ferreira,R., Costa,A.R., Oliveira,H., Azeredo,J.","National Center for Biotechnology Information, NIH",USA,7/28/20,,Minhovirus zip,18742,complete,"Portugal: Frossos, Braga",,Enterococcus faecium,,
NC_049931,Enterococcus phage vB_EfaP_IME199,RefSeq,GCF_002607875.1,"Tong,Y., Zhang,X., An,X., Mi,Z.","National Center for Biotechnology Information, NIH",USA,7/28/20,,Minhovirus IME199,18838,complete,China,,Enterococcus faecium,,
NC_049932,Enterococcus phage vB_EfaP_Ef6.2,RefSeq,GCF_004800625.1,"Fouts,D.E., Duan,Y., White,R.C., Nguyen,K., Singh,I., Schnabl,B.","National Center for Biotechnology Information, NIH",USA,7/28/20,,Copernicusvirus Ef62,17966,complete,"USA: San Diego, CA",CA,Enterococcus faecalis,,2018-06
NC_049933,Enterococcus phage vB_EfaP_Ef6.3,RefSeq,GCF_004800785.1,"Fouts,D.E., Duan,Y., White,R.C., Nguyen,K., Singh,I., Schnabl,B.","National Center for Biotechnology Information, NIH",USA,7/28/20,,Copernicusvirus Ef63,18136,complete,"USA: San Diego, CA",CA,Enterococcus faecalis,,2018-06
NC_049934,Enterococcus phage vB_EfaP_Ef7.2,RefSeq,GCF_004800525.1,"Fouts,D.E., Duan,Y., White,R.C., Nguyen,K., Singh,I., Schnabl,B.","National Center for Biotechnology Information, NIH",USA,7/28/20,,Copernicusvirus Ef72,18737,complete,"USA: San Diego, CA",CA,Enterococcus faecalis,,2018-06
NC_049935,Enterococcus phage vB_EfaP_Efmus4,RefSeq,GCF_004800725.1,"Fouts,D.E., Duan,Y., Ly,M., White,R.C., Nguyen,K., Singh,I., Pride,D., Schnabl,B.","National Center for Biotechnology Information, NIH",USA,7/28/20,,Copernicusvirus Efmus4,18186,complete,"USA: San Diego, CA",CA,Enterococcus faecalis,,2016-10
NC_049936,Enterococcus phage vB_EfaP_Efmus3,RefSeq,GCF_004800565.1,"Fouts,D.E., Duan,Y., White,R.C., Nguyen,K., Singh,I., Schnabl,B.","National Center for Biotechnology Information, NIH",USA,7/28/20,,Copernicusvirus Efmus3,18286,complete,"USA: San Diego, CA",CA,Enterococcus faecalis,,2017-07
NC_049937,Enterococcus phage Idefix,RefSeq,GCF_900092395.1,"Petit,M.-A., Vtemp,G., Lossouarn,J.","National Center for Biotechnology Information, NIH",USA,7/28/20,,Copernicusvirus Idefix,18168,complete,,,Enterococcus faecalis,,
NC_049938,Enterococcus phage vB_EfaP_Efmus1,RefSeq,GCF_004800765.1,"Fouts,D.E., Duan,Y., White,R.C., Nguyen,K., Singh,I., Schnabl,B.","National Center for Biotechnology Information, NIH",USA,7/28/20,,Copernicusvirus Efmus1,17927,complete,"USA: San Diego, CA",CA,Enterococcus faecalis,,2017-07
NC_049939,Enterococcus phage vB_EfaP_Ef7.3,RefSeq,GCF_004800545.1,"Fouts,D.E., Duan,Y., White,R.C., Nguyen,K., Singh,I., Schnabl,B.","National Center for Biotechnology Information, NIH",USA,7/28/20,,Copernicusvirus Ef73,18818,complete,"USA: San Diego, CA",CA,Enterococcus faecalis,,2018-06
NC_049940,Enterococcus phage vB_EfaP_Ef7.4,RefSeq,GCF_004800835.1,"Fouts,D.E., Duan,Y., White,R.C., Nguyen,K., Singh,I., Schnabl,B.","National Center for Biotechnology Information, NIH",USA,7/28/20,,Copernicusvirus Ef74,18415,complete,"USA: San Diego, CA",CA,Enterococcus faecalis,,2018-06
NC_049809,Lactococcus phage Q33,RefSeq,GCF_002758415.1,"Mahony,J., Martel,B., Tremblay,D.M., Neve,H., Heller,K.J., Moineau,S., van Sinderen,D.","National Center for Biotechnology Information, NIH",USA,7/22/20,,Vedamuthuvirus Q33,31106,complete,Canada,,Lactococcus lactis,,
NC_049810,Lactococcus phage 50902,RefSeq,GCF_002611285.1,"Mahony,J., Oliveira,J., Collins,B., Hanemaaijer,L., Lugli,G.A., Neve,H., Ventura,M., Kouwen,T.R., Cambillau,C., van Sinderen,D., van Sinder,D.","National Center for Biotechnology Information, NIH",USA,7/22/20,,Vedamuthuvirus vv50902,30745,complete,,,Lactococcus lactis,,
NC_049811,Lactococcus phage 62503,RefSeq,GCF_002611385.1,"Mahony,J., Oliveira,J., Collins,B., Hanemaaijer,L., Lugli,G.A., Neve,H., Ventura,M., Kouwen,T.R., Cambillau,C., van Sinderen,D., van Sinder,D.","National Center for Biotechnology Information, NIH",USA,7/22/20,,Vedamuthuvirus vv62503,30556,complete,,,Lactococcus lactis,,
NC_049812,Lactococcus phage P1045,RefSeq,GCF_009685685.1,"Brinks,E.","National Center for Biotechnology Information, NIH",USA,7/22/20,,Vedamuthuvirus P1045,31050,complete,,,Lactococcus lactis,,
NC_049341,Escherichia phage 503458,RefSeq,GCF_003958765.1,"Hazen,T.H., Nagaraj,S., Barry,E.M., Bitoun,J., Chen,W.H., Tennant,S.M., Rasko,D.A.","National Center for Biotechnology Information, NIH",USA,7/3/20,,Xuanwuvirus xv503458,31194,complete,India,,Escherichia coli,,6/15/09
NC_049343,Escherichia phage 500465-2,RefSeq,GCF_003958705.1,"Hazen,T.H., Nagaraj,S., Barry,E.M., Bitoun,J., Chen,W.H., Tennant,S.M., Rasko,D.A.","National Center for Biotechnology Information, NIH",USA,7/3/20,,Gemsvirus gv5004652,33041,complete,India,,Escherichia coli,,6/19/08
NC_049346,Lactococcus phage 936,RefSeq,GCF_002592905.1,"Mahony,J., Kot,W., Murphy,J., Ainsworth,S., Neve,H., Hansen,L.H., Heller,K.J., Sorensen,S.J., Hammer,K., Cambillau,C., Vogensen,F.K., van Sinderen,D., Soerensen,S.J.","National Center for Biotechnology Information, NIH",USA,7/3/20,,Skunavirus sv936,27302,complete,,,Lactococcus,,
NC_049347,Lactococcus phage fd13,RefSeq,GCF_002592925.1,"Mahony,J., Kot,W., Murphy,J., Ainsworth,S., Neve,H., Hansen,L.H., Heller,K.J., Sorensen,S.J., Hammer,K., Cambillau,C., Vogensen,F.K., van Sinderen,D., Soerensen,S.J.","National Center for Biotechnology Information, NIH",USA,7/3/20,,Skunavirus fd13,30674,complete,,,Lactococcus,,
